property_type,address,city,state,zip_code,price,beds,baths,area,lot_size,year_built,hoa_month
Single Family Residential,112 Corson Pl,Ithaca,NY,14850,615000,3,2,2006,0.46000918273645547,1955,
Single Family Residential,155 Whitetail Dr,Ithaca,NY,14850,475000,4,2.5,2158,0.33000459136822774,1995,
Single Family Residential,22 Chase Ln,Ithaca,NY,14850,510000,4,3,2880,0.41999540863177226,1993,
Single Family Residential,1016 Cayuga Heights Rd,Ithaca,NY,14850,720000,4,2,2560,1.3800045913682277,1965,
Single Family Residential,3050 Frontenac Rd,Trumansburg,NY,14886,342000,3,3,2952,2.9,1981,
Single Family Residential,8 Ogden Rd,Ithaca,NY,14850,360000,3,2,1512,1.0899908172635446,1959,
Single Family Residential,93 N Van Dorn Rd,Ithaca,NY,14850,248000,3,2,1876,0.8800045913682277,1966,
Single Family Residential,117 Hillcrest Dr,Ithaca,NY,14850,340000,4,3,1652,0.5100091827364555,1954,
Single Family Residential,330 E Cortland St,Groton,NY,13073,115000,3,1,1527,0.06363636363636363,1920,
Single Family Residential,194 Ludlowville Rd,Lansing,NY,14882,172000,2,1,896,0.18999081726354453,1900,
Single Family Residential,810 Cayuga Heights Rd,Ithaca,NY,14850,623750,3,3.5,3294,1.1699954086317723,1969,
Single Family Residential,742 S Aurora St,Ithaca,NY,14850,305000,3,2,1229,0.15,1925,
Single Family Residential,53 E Main St,Trumansburg,NY,14886,500000,3,1.5,2742,0.13999081726354454,1900,
Multi-Family (2-4 Unit),305 E Cortland St,Groton,NY,13073,172000,,,2762,0.1285583103764922,1975,
Single Family Residential,915 Spring St. Ext,Groton,NY,13073,220000,3,1,1503,10.119995408631771,1900,
Single Family Residential,246 Lake Rd,Dryden,NY,13053,165500,3,2,1040,1.6199954086317723,1969,
Single Family Residential,104 Campbell Ave,Ithaca,NY,14850,346000,3,2,1370,0.25,1929,
Single Family Residential,112 Simsbury Dr,Ithaca,NY,14850,530000,4,2.5,2826,0.4730027548209366,1972,
Single Family Residential,1809 Coddington Rd,Brooktondale,NY,14817,185000,3,1,1080,1.4199954086317723,1958,
Single Family Residential,320 Winthrop Dr,Ithaca,NY,14850,485000,4,2.5,2861,0.4800045913682277,1967,
Single Family Residential,14 Farm Pond Cir,Freeville,NY,13068,258000,2,1.5,968,1.0899908172635446,2017,
Single Family Residential,1469 Slaterville Rd,Ithaca,NY,14850,245000,4,2,1488,0.35,1932,
Single Family Residential,113 Briarwood Dr,Ithaca,NY,14850,480000,6,5.5,3790,0.38000459136822773,2010,
Multi-Family (2-4 Unit),412 E Tompkins St,Ithaca,NY,14850,340000,4,3,1632,0.09182736455463728,1900,
Single Family Residential,414 W Court St,Ithaca,NY,14850,302385,3,1.5,1476,0.2,1900,
Single Family Residential,85 Keith Ln,Dryden,NY,13053,287500,4,2,1848,2.75,1987,
Single Family Residential,426 Lake Rd,Dryden,NY,13053,320000,3,2,1400,1.5399908172635446,1860,
Single Family Residential,27 Chelseas Walk,Ithaca,NY,14850,765000,4,2.5,3599,1.8899908172635445,2001,
Single Family Residential,9 Muriel St,Ithaca,NY,14850,310000,3,2,1812,0.9,1956,
Single Family Residential,5 Eagleshead Rd,Ithaca,NY,14850,470000,5,2.5,2600,1.2800045913682276,1973,
Single Family Residential,123 Renwick Dr,Ithaca,NY,14850,469000,3,3,3015,0.7100091827364554,1932,
Single Family Residential,407 Teton Ct,Ithaca,NY,14850,418000,4,2.5,2775,0.4800045913682277,1991,
Multi-Family (2-4 Unit),711 E Seneca St,,NY,14850,775000,0,,3834,,1893,
Single Family Residential,109 Hyers,Ithaca,NY,14850,232250,3,1,1080,0.05303030303030303,1910,
Single Family Residential,118 Winston Dr,Ithaca,NY,14850,395000,4,2.5,2328,0.3600091827364555,1961,
Single Family Residential,18 Dart Dr,Ithaca,NY,14850,285000,2,1,1008,0.45,1970,
Single Family Residential,522 Harford Rd,Brooktondale,NY,14817,195000,3,1,1064,,1973,
Single Family Residential,388 Snyder Hill Rd,Ithaca,NY,14850,95000,2,1,1479,2.9899908172635445,1945,
Single Family Residential,138 Adams Rd,Newfield,NY,14867,230000,2,2,1344,,1986,
Single Family Residential,410 W Clinton St,Ithaca,NY,14850,410000,3,2,1425,0.13000459136822773,1900,
Mobile/Manufactured Home,1 Jake St,Ithaca,NY,14850,29100,3,1.5,1536,0.03526170798898071,1975,
Multi-Family (5+ Unit),428 Scofield Rd,Lansing,NY,14882,920000,,,6272,8,2011,
Single Family Residential,1731 Hanshaw Rd,Ithaca,NY,14850,340000,3,2,1232,0.6899908172635445,1962,
Single Family Residential,614 S Albany St,Ithaca,NY,14850,350000,4,1,1698,0.12396694214876033,1925,
Single Family Residential,204 Klinewoods Rd,Ithaca,NY,14850,775000,4,2.5,3110,0.6800045913682278,1934,
Single Family Residential,137 Snyder Hill Rd,Ithaca,NY,14850,380000,4,2.5,1846,0.4,1968,
Townhouse,98 Penny Ln,Ithaca,NY,14850,317500,3,1.5,1320,,1986,
Single Family Residential,140 Brook Way,Ithaca,NY,14850,420000,4,3,2396,0.55,1985,
Single Family Residential,210 Dey St,Ithaca,NY,14850,360000,2,2,1190,0.11999540863177227,1880,
Single Family Residential,420 E State St,Ithaca,NY,14850,454000,4,3,2812,0.10284664830119375,1889,
Single Family Residential,546 Spencer Rd,Ithaca,NY,14850,210000,3,1,1327,0.3443526170798898,1915,
Single Family Residential,107 Judd Fls,Ithaca,NY,14850,454000,3,2,1620,0.2699954086317723,1890,
Single Family Residential,702 North Wood Rd,Freeville,NY,13068,275000,4,2,1850,1.3800045913682277,1990,
Single Family Residential,127 Beardsley,Ithaca,NY,14850,710000,4,3.5,3137,1.7699954086317722,2015,
Single Family Residential,494 Lake Rd,Dryden,NY,13053,457000,4,2.5,2478,2.519995408631772,1880,
Single Family Residential,108 Franklin St,Ithaca,NY,14850,347000,4,2,1785,0.10101010101010101,1900,
Single Family Residential,1059 Coddington Rd,Ithaca,NY,14850,353000,4,2,2280,0.95,1951,
Single Family Residential,1941 Slaterville Rd,Ithaca,NY,14850,465000,4,1.5,2788,6.610009182736455,1957,
