Date, AQI Value,Main Pollutant,Site Name,Site ID,Source,20-year High (2000-2019),20-year Low (2000-2019),5-year Average (2015-2019),Date of 20-year High,Date of 20-year Low
07/18/2023,91,PM2.5,EAST SYRACUSE,36-067-1015,AQS,159,31,39.8,07/18/2002,07/18/2009
07/19/2023,37,PM2.5,EAST SYRACUSE,36-067-1015,AQS,90,26,46.2,07/19/2008,07/19/2009
07/20/2023,40,Ozone,FULTON,36-075-0003,AQS,84,31,46.2,07/20/2011,07/20/2007
07/21/2023,45,Ozone,EAST SYRACUSE,36-067-1015,AQS,115,25,43,07/21/2005,07/21/2007
07/22/2023,33,PM2.5,EAST SYRACUSE,36-067-1015,AQS,112,26,40.4,07/22/2002,07/22/2019
07/23/2023,43,PM2.5,EAST SYRACUSE,36-067-1015,AQS,115,27,35.2,07/23/2001,07/23/2007
07/24/2023,42,Ozone,EAST SYRACUSE,36-067-1015,AQS,106,19,30.4,07/24/2001,07/24/2018
07/25/2023,46,Ozone,EAST SYRACUSE,36-067-1015,AQS,93,17,32.6,07/25/2005,07/25/2017
07/26/2023,72,PM2.5,EAST SYRACUSE,36-067-1015,AQS,100,26,40.2,07/26/2003,07/26/2016
07/27/2023,49,Ozone,EAST SYRACUSE,36-067-1015,AQS,77,22,44.2,07/27/2003,07/27/2000
07/28/2023,56,PM2.5,EAST SYRACUSE,36-067-1015,AQS,84,23,40.8,07/28/2007,07/28/2017
07/29/2023,45,PM2.5,EAST SYRACUSE,36-067-1015,AQS,90,18,37.2,07/29/2002,07/29/2014
07/30/2023,27,Ozone,EAST SYRACUSE,36-067-1015,AQS,61,28,37.2,07/30/2005,07/30/2016
07/31/2023,29,Ozone,EAST SYRACUSE,36-067-1015,AQS,112,27,34.4,07/31/2002,07/31/2016
8/01/2023,30,Ozone,EAST SYRACUSE,36-067-1015,AQS,93,31,36,8/01/2001,8/01/2016
8/02/2023,33,Ozone,EAST SYRACUSE,36-067-1015,AQS,154,30,46,8/02/2001,8/02/2008
8/03/2023,58,PM2.5,EAST SYRACUSE,36-067-1015,AQS,126,19,45,8/03/2007,8/03/2008
8/04/2023,58,PM2.5,EAST SYRACUSE,36-067-1015,AQS,136,24,43.8,8/04/2005,8/04/2013
8/05/2023,53,PM2.5,EAST SYRACUSE,36-067-1015,AQS,71,27,42.2,8/05/2018,8/05/2006
8/06/2023,40,PM2.5,EAST SYRACUSE,36-067-1015,AQS,115,19,36.8,8/06/2001,8/06/2002
8/07/2023,35,Ozone,EAST SYRACUSE,36-067-1015,AQS,129,21,32.8,8/07/2001,8/07/2004
8/08/2023,25,Ozone,EAST SYRACUSE,36-067-1015,AQS,97,23,31.4,8/08/2012,8/08/2015
8/09/2023,48,PM2.5,EAST SYRACUSE,36-067-1015,AQS,122,28,38.2,8/09/2001,8/09/2008
8/10/2023,45,PM2.5,EAST SYRACUSE,36-067-1015,AQS,112,21,39.2,8/10/2002,8/10/2019
8/11/2023,31,Ozone,EAST SYRACUSE,36-067-1015,AQS,182,28,47,8/11/2002,8/11/2000
8/12/2023,40,Ozone,EAST SYRACUSE,36-067-1015,AQS,159,23,37.4,8/12/2002,8/12/2008
08/13/2023,31,Ozone,EAST SYRACUSE,36-067-1015,AQS,126,26,33.4,08/13/2002,08/13/2018
08/14/2023,28,Ozone,EAST SYRACUSE,36-067-1015,AQS,172,22,32.4,08/14/2002,08/14/2013
